Dificultad,Puntuacion
facil,6.871891498565674
facil,1.6584489345550537
media,1.4060392379760742
facil,26.71428918838501
dificil,4.519241809844971
media,7.259825706481934
dificil,17.28569483757019
dificil,17.28569483757019
dificil,17.450704336166382
dificil,17.450704336166382
dificil,17.618857860565186
dificil,17.618857860565186
dificil,17.78489351272583
dificil,17.78489351272583
dificil,17.948785305023193
dificil,17.948785305023193
dificil,18.115488290786743
dificil,18.115488290786743
dificil,18.28111696243286
dificil,18.28111696243286
dificil,18.447988271713257
dificil,18.447988271713257
dificil,18.616675853729248
dificil,18.616675853729248
dificil,22.350948810577393
